patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,50,1050,0.176256,0.184013
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,100,2100,0.203719,0.20816
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,2,42,0.083804,0.09159
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,5,105,0.077881,0.086595
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,10,210,0.112204,0.115737
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,20,420,0.140638,0.143214
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,50,1050,0.216783,0.228976
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,100,2100,0.285434,0.290591
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,2,42,0.118,0.134055
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,5,105,0.158305,0.162365
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,10,210,0.13128,0.159034
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,20,420,0.179913,0.17985
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,50,1050,0.21201,0.218152
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,100,2100,0.311521,0.309742
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,2,42,0.069523,0.079933
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,5,105,0.065739,0.070774
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,10,210,0.080294,0.087427
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,20,420,0.091853,0.098251
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,50,1050,0.173467,0.187344
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,100,2100,0.226209,0.232306
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,2,42,0.069516,0.069942
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,5,105,0.07785,0.083264
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,10,210,0.071709,0.070774
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,20,420,0.11307,0.1199
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,50,1050,0.181704,0.183181
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,100,2100,0.276859,0.278934
8,1,raw,raw patches,unseen,snr_doppler,2,42,0.078026,0.092423
8,1,raw,raw patches,unseen,snr_doppler,5,105,0.130138,0.141549
8,1,raw,raw patches,unseen,snr_doppler,10,210,0.147822,0.159034
8,1,raw,raw patches,unseen,snr_doppler,20,420,0.157363,0.174022
